Frame,MG284_GGPP_Lig1,MG284_GGPP_Lig2,MG285_GGPP_Lig1,MG285_GGPP_Lig2,MG286_GGPP_Lig1,MG286_GGPP_Lig2
0,25.98029196559828,21.94161270962842,6.944569978548835,9.440026573692895,4.415617649365363,7.066484364248456
1,25.47611431410985,21.687630455820106,6.960890078350026,9.255244764655691,4.469134953537296,6.8114092873603775
2,25.618789437708635,21.709043747297866,6.947976541520272,9.558965197817269,4.4996955771079845,7.246531862887466
3,25.540126310967555,21.3129211846959,6.897336903708003,9.47504630991093,4.3459372643644,7.171034442325409
4,25.58618348854182,21.439016650120944,7.0553083942100265,9.657924253707913,4.290910630227401,7.106041703641393
5,25.8533481266979,21.68993563471112,6.906238265073324,9.515696174957398,4.465142057364615,7.067640755749397
6,25.143586582180493,21.25050617013584,7.118350805788029,9.640754219051473,4.444601914273876,7.05491922942478
7,25.677510509096983,21.81412117512741,7.110662933020886,9.300669101362086,4.642870300262523,6.963582268579151
8,25.702700500343642,21.639469000968727,7.025199399633533,9.50096461936672,4.277534950471517,6.851479920300176
9,25.16338422747944,21.203268217717937,7.1455039053211244,9.568702601850635,4.438627701674344,7.04102998807065
10,25.223382211955457,21.51380464861287,7.135928793962177,9.020409886049597,4.483679401143996,6.686561118364697
11,25.298784660045285,21.085779416944234,7.0192571041289415,9.737956114134004,4.426041240001952,7.284823225455102
12,25.162156993575447,21.149076161367958,6.896548005312265,9.440691007079694,4.305265050103534,6.854685892615006
13,25.671411178600824,21.3628581690681,7.072891115531768,9.845571035188195,4.498102445499433,7.35118576711929
14,25.61592263524895,21.58980847892569,7.222058845123391,9.80547138911435,4.361187296532841,7.14608616300105
15,25.55155157248837,21.450275989845938,7.3604728663748755,10.104460026040135,4.291276875602278,7.392452755768144
16,25.09428476157009,21.27208764717093,6.919053894866415,9.329315982912632,4.466772076447951,6.902130574312359
17,26.17624723185102,22.349837830003494,6.994189832553292,9.00787934089951,4.450758377507816,6.943501553356037
18,25.365277508498256,21.1986315945049,7.09158075615286,9.839113223276385,4.448672263991821,7.367771446606847
19,25.115221652886206,21.12513654357212,7.183038432155234,9.712798955709937,4.42691651847837,7.0063248639023685
20,24.773663992207137,20.696979887282957,7.026257923096277,9.334806194404342,4.725180919371795,7.157557378986641
21,25.54014946520086,21.346280571433265,7.205315526766377,9.911790446131452,4.419269530727758,7.312359245010356
22,25.36473552827918,21.503703673629975,7.128015306911356,9.466981049549238,4.37680568254739,7.059630257137331
23,25.456152143956107,21.652634205623453,6.826200038082599,8.905838324417338,4.501098224039332,6.710782471506972
24,24.917636202551066,21.10180347916646,6.774051067443365,9.139564304029042,4.692692322635784,7.079297783116801
25,25.672547655771545,21.517648866345798,7.0176852514065216,9.691990027116095,4.480683643276623,7.410342126587213
26,25.00654840641639,21.073366397232487,7.108104090619259,9.57116213250075,4.538743076185457,7.16995975050291
27,25.721013627960996,21.992488665431015,6.967054326888079,9.119926773116086,4.792895365216598,6.956451225874522
28,24.98224543789218,21.04580693185762,6.964415894102073,9.524968816706263,4.66187469162389,7.314084241954687
29,25.870647142368547,21.970407372109513,6.972927092577891,9.455815778349063,4.643542306972139,7.284742292955728
30,25.601374416950666,21.512619332432468,6.941866939066346,9.388662163464689,4.536468264947682,7.344868234545338
31,24.934399147052513,20.839894008547052,7.083026901493734,9.869916491521073,4.410918761308478,7.217395237925535
32,25.15007109906761,21.11190168954883,7.131643092097663,9.856107741109065,4.582166418899658,7.487770777867457
33,26.16372439168225,22.170345304438683,6.9953485587508,9.508903135338258,4.359075287372576,7.033973483398845
34,25.332112840524317,21.395993860026966,7.339010661266786,9.780296098588499,4.3874672697266845,7.031174223531385
35,25.39803913211689,21.29249948886312,7.122030825985565,9.857910429296838,4.531936949828882,7.351511554348273
36,24.491168503546888,20.423376709660456,7.133779416630691,9.917034440364478,4.473424827784635,7.269447388447051
37,25.41002608500947,21.53511569977263,7.217241191296718,9.866103104911872,4.533772980542044,7.273670011163001
38,25.077552273637792,21.086158136716904,7.161431274207829,9.85656552724685,4.508617637752079,7.228327013069055
39,25.045920957325567,21.105735349901334,7.425752911648305,9.973054741382118,4.559702221478466,7.154345687331739
40,25.620237417665994,21.44368781166379,6.7282338931388885,9.47348683234263,4.228205316172811,7.140746838499935
41,25.25328902423132,21.116309648261513,7.053660650650113,9.73935050888324,4.406900272816961,7.128265124230285
42,25.669633923870816,21.918430937132243,6.990048827551161,9.345032961161857,4.753338153891436,7.081890532881334
43,25.10503324959443,20.98162422506646,7.161344169723246,9.807928835457657,4.6125626174643655,7.266250743751791
44,25.6339630089708,21.31843708391365,6.976511355147325,9.82385288147498,4.269377654288554,7.2875362661337695
45,25.134718610536968,21.09329162397016,7.086654777287375,9.735049382951058,4.427200628973775,7.106265903574237
46,25.907993322944094,21.772326562147825,7.095947046601768,9.73744664830178,4.3956662576378625,7.005517069191368
47,25.681438706174976,21.365861762736,7.200629482482944,9.917247418357956,4.4078819302075365,7.178472925359378
48,25.433193985962305,21.359502403879233,7.114652060687736,9.694960887893307,4.436809554622993,7.107980692334473
49,25.50764315758717,21.49301605764633,7.129870626380718,9.441530300425288,4.456166072882271,7.131202111096961
50,25.817858215856663,21.58240474691045,6.960099139425482,9.791951998193642,4.485791903705008,7.332905950040415
51,25.473625769717252,21.41997976712484,7.1069136113983165,9.569860276712586,4.4457433308903385,7.179841938875026
52,25.927081806463317,21.63411179145348,6.94048136252333,9.680503254620275,4.48463623766701,7.339541392882164
53,25.40944467052571,21.522884770360296,6.930496043179521,9.5124105680341,4.65525772562835,7.294981576725261
54,25.13061550730591,20.976737166253606,7.118800229775285,9.887028954132077,4.533900432501629,7.360282714012466
55,25.361246894835244,21.17232664836589,7.050135119972735,9.947683352100343,4.23686051433823,7.17371448629442
56,25.37901037182733,21.228384910219045,7.080110234867171,9.73292730552932,4.557633655585284,7.305146714745556
57,24.475203948502717,20.201366902522107,6.9907956548724695,9.76155730942295,4.625316523436094,7.4408876733555545
58,25.312262566751283,20.89984921223514,7.1421090000876575,10.318555274585362,4.4525815413795,7.529268658908041
59,25.863996486980483,21.69955608290293,6.933438393782608,9.537556852752983,4.3472963347699825,7.183427299980838
60,25.24445221671739,21.102937765130736,7.234773875086429,10.106793874423968,4.351687875280384,7.332247185808582
61,25.441870471080836,21.545290304156225,6.795667940723693,9.213892757385294,4.63098893599284,7.206133295427883
62,24.912639202489565,20.96664649718615,7.147927624491108,9.786145524798417,4.411788783386898,7.076221136853366
63,24.867839325336725,20.77736554880573,7.071697008204849,9.732944316681346,4.422111192083337,7.202360820665718
64,25.335069642478338,21.292965120388264,7.094990960934013,9.581300062720075,4.705267257142363,7.357407494756473
65,25.30000459194146,21.198257753180084,7.023043052845846,9.906029124789834,4.327780872138826,7.158398228175907
66,25.19207249662581,20.965538655864606,7.2665059105377425,9.96926723480493,4.22904612373868,7.1411459186388315
67,25.77099385767802,21.70586649414838,7.116821422058005,9.813687658219887,4.458227699015158,7.272047701113494
68,25.406233657663165,21.34490467767068,7.152514738624903,9.516936346987825,4.366073516576085,7.007897858769327
69,25.19660088440447,20.958712680186373,7.170263417076652,9.926237918903169,4.227429036956469,7.185287132704819
70,25.93445040986368,21.597044323118922,7.127075404108791,10.128189618906712,4.159246596844137,7.091674156371349
71,25.058932299296398,20.819991407839805,7.195478570012475,10.207010447842247,4.159813065311184,7.194954643129208
72,25.500032618491108,21.500751295954696,7.312133232340949,9.86581080882151,4.4175429014045635,7.126436169695965
73,25.39606274334331,21.343715993194884,7.1416613247387835,9.806872609441054,4.398852254722324,7.146659011613389
74,25.564872553035052,21.591510567340777,7.221714854176105,9.958686911144827,4.322378884486392,7.1609934006583265
75,25.903040401691836,22.025658576644005,6.748829906644647,9.15232331279723,4.464685099332156,6.898712673614025
76,25.285308192052923,21.104319009226746,7.077588191642283,9.917980711490568,4.1498503261834605,7.093327444145842
77,25.404406732244222,21.21594138137821,6.934686885989443,9.71938933354696,4.423607304826337,7.275779296180272
78,25.77810358749462,21.706256210261,7.069779285794344,9.567015844252532,4.5614851907379075,7.163967458102229
79,25.5419002092247,21.69186214407189,7.04766612078251,9.492713156721408,4.597260293056601,7.065273505952336
80,25.431615837325143,21.24579612873319,7.14084069136443,9.83988893707231,4.4647354496981455,7.42922997398722
81,25.831142536799764,21.75972011481448,6.998880584736447,9.606968970745712,4.39411776863013,7.156736482158188
82,25.655467972153577,21.290684039419887,7.230774067874742,10.119055083044051,4.105511569356512,7.109622707790767
83,25.662590489428833,21.181632368525296,6.871887039737784,9.898641320599236,4.065969444884844,7.256616690116349
84,25.392290473507156,21.136211103369728,6.922025330844275,9.874480076138951,4.08053891689741,7.218682896933401
85,25.430033676706973,21.241619244588144,6.91572077628676,9.605019942945702,4.290030277703911,7.097611110074534
86,25.295218609061834,21.401915154058763,6.853154011931491,9.257454141798027,4.514870626613627,7.043748477640762
87,25.245795577506325,21.265605422237083,7.114523104148281,9.66870986376289,4.4898949559913035,7.304004333264757
88,24.668033425886357,21.020601084107614,6.888945516850738,9.045319918629195,4.64626740615225,6.864029284981109
89,25.033545618330194,21.325422389373433,6.766564862713003,8.967188237082796,4.541481792553841,6.870373764196054
90,25.015067905999786,21.286995220657346,6.8340894599214375,9.096174840342256,4.498632037392495,7.05260809837393
91,24.876611705501954,21.02937336721577,6.790540693725991,9.167347015983626,4.351008324776971,6.91836166785811
92,24.834621745689734,20.904780007585433,7.0829178761611775,9.668862790337696,4.433973313660356,7.174966995962806
93,24.9134345611713,20.95391924089084,6.751776890559371,9.298847542621008,4.539722186088168,7.131848839497029
94,25.444436248913934,21.769999550249747,6.868913619924453,9.134071320680857,4.733836843692336,6.9713495702586545
95,25.507738056060372,21.791566073133417,6.660531774584557,8.917176151205695,4.490903671002454,6.904210973686187
96,25.391361204473817,21.456061905934586,6.960922384670033,9.447514795614909,4.524955345880766,7.141993773387028
97,25.08805870815699,21.075440392382774,7.044581421565771,9.640117342282908,4.554772139773038,7.170550376167319
98,25.497586870811425,21.670231386029656,7.157484262236488,9.477924808245294,4.482138660682032,7.100345742810103
99,25.31306717188405,21.573253337730414,6.850293735910073,9.098657314410731,4.605110017574897,6.96468970494861
100,26.141862136801166,22.31459415974461,6.653414798580204,8.94218391639898,4.497510771016849,6.8396434933858075
101,25.13986346091702,21.11255431751338,6.889983266544028,9.365289328640477,4.539453782189617,7.0732970522969465
102,26.18366331870567,22.432916092178328,6.924935700529837,8.901478011472516,4.242150223891298,6.556189794194524
103,25.781383471923494,21.606617131284075,7.130121591492753,9.759665124431953,4.537646590825768,7.235064274659219
104,25.228754121095808,21.32252257535486,6.988430357271945,9.449327108075963,4.747350757566829,7.390985875666187
105,25.61687243855544,21.851812030254056,6.985586540476704,9.44293641757265,4.3752897552732035,6.8700633184524404
106,25.059996308305404,21.08475869280906,7.172957240433573,9.90616490681515,4.260324596079637,7.0622521426948675
107,24.842106698195774,20.83352112349546,6.992500473557559,9.640624448417185,4.461569483098106,7.101155290842706
108,24.81519141062654,20.43654129914389,7.057674618293207,9.894336872105441,4.251021003892846,7.154004362598413
