Frame,MG284_FSPP_Lig1,MG284_FSPP_Lig2,MG285_FSPP_Lig1,MG285_FSPP_Lig2,MG286_FSPP_Lig1,MG286_FSPP_Lig2
0,26.098336535252205,21.41358727468721,6.600231475388866,8.949788475474358,4.0447161781974055,5.836688866322943
1,26.20598191646441,21.32553193716631,6.533384159789629,9.3096065198989,3.9653629320240618,6.1296541465372245
2,26.304548015566485,21.45273101615906,6.764595778924412,9.002364331121756,4.036780632515855,5.984362839691753
3,25.984671176270314,21.306190312517636,6.6863938390857,8.928363882510187,4.209213043706947,5.907742509936092
4,26.37038417007277,21.78961826222165,6.583618606973418,9.057516977769689,4.110392004089428,5.877598548223699
5,26.147014130566635,21.690025558608305,6.564488974568877,8.694734940570118,3.9440297809404488,5.6823380500791
6,26.569814123569437,21.982453416071184,6.604313205876848,8.850392166905484,3.9784082380257484,5.978078868709749
7,26.589344569240577,22.056241909506475,6.647682887540374,8.863922104559252,4.12507107229653,5.788771406308153
8,26.3953677363265,21.911673926945934,6.42357001220862,8.431058280218814,4.144654362896498,5.803083395985361
9,26.357267023614916,21.72732983530664,6.489650671821253,8.655936410872346,4.007884870115995,5.719468127374724
10,26.185461715133126,21.784388702867687,6.592139109939771,8.797954332387503,4.1205844466847985,5.829367154476858
11,26.540217948331907,22.072707799522494,6.579905443987988,8.700022205923899,4.080854970962338,5.722785126398272
12,26.58773825501171,21.8317593815307,6.639922665317377,8.787301131043689,4.373898831327092,5.989935184269886
13,26.18971383643468,21.403741535470015,6.7139651513354535,8.944553127692867,4.108934831119155,5.863914562173938
14,26.611103069892376,22.053480909730236,6.841859948401579,9.009407989636962,4.062862045139113,5.877047696490148
15,26.706753941962482,22.071100041243067,6.6997166693536,8.91378134464332,4.0805162038637155,5.8991653128844
16,26.60646366329556,21.92923074507009,6.588869576284829,8.877973263078626,4.123375067259156,5.69225971842043
17,25.902593636320635,21.489721006196376,6.5481548926456865,8.75511681493216,4.328887009198167,5.986013233454946
18,26.629733708492346,22.059462309003038,6.537227351777492,8.671425451911494,3.7464679370503706,5.761830704988803
19,26.40764566137397,21.607853585553684,6.594227500529822,8.664246953270894,4.1724816548315475,5.90930352563473
20,26.94930510053832,22.071903815550648,6.486475235578513,8.86177792034792,4.181327285234481,5.894499632903666
21,26.908570092606507,22.348334627122274,6.600046650319438,8.885321439424501,3.937967865097828,5.8077438789990135
22,26.469377627690978,21.741276011993953,6.807824454945161,9.208470751620636,3.9645372470835385,5.9110166415590655
23,26.78692691092523,22.126827501557884,6.774078629933295,8.97502249339197,4.101700819530039,5.808187418766502
24,26.3188732613363,21.7623868879394,6.80371583036523,8.520138249079501,3.994420387595609,5.703403340681477
25,26.87560054094689,22.033219554974217,6.643553235005839,8.910275363312811,4.045242964680527,5.884388896932847
26,26.773354934066184,22.070966177453446,6.7100110306483325,9.159210481183012,4.063650164582207,5.885052352977254
27,26.250199771947585,21.73216646471416,6.679298121977458,8.75451071937789,4.141678992021092,5.915998563675381
28,25.914428118492413,21.54170700586167,6.446635665021577,8.507495095712443,4.268211838918892,5.719682619376021
29,25.958758892839395,21.36722832158014,6.570070508917547,8.89647228007168,4.071343999669878,5.8887809042447286
30,26.88424207505991,22.311052326205715,6.549036668185504,8.641475839773129,4.104830141859941,5.934328652901755
31,25.731121762622312,21.296727762827302,6.594710330244972,9.03850502774857,4.043110885254906,5.726755370891544
32,26.182947109181516,21.696083551905406,6.870109070046358,9.241292748342923,3.9895684094861696,6.013528350061138
33,26.779327390131478,22.106606084654825,6.595959453390041,9.054606361062953,4.184784495376883,6.057674697163513
34,26.15645546423966,21.33744176506225,6.6223099182727365,9.260865173466996,4.127318476414113,6.0262476919544685
35,26.144601449780108,21.33667801760229,6.561028291811527,9.35662891982157,4.086123502855538,6.012005516705502
36,26.646511551425768,21.706373328733463,6.432457166442931,9.085341723098445,4.006356067551932,5.9114690023585075
37,26.51936814322974,21.885889299404152,6.583667686167658,8.84104164071656,4.2227925701291,5.791174473874754
38,25.96748340019242,21.224769456005827,6.503450185207953,8.967536909048976,4.256074299404512,6.0067881774581195
39,26.14532919161202,21.270702138576397,6.599386992672818,9.089273983016016,4.20489489781072,5.896260185806172
40,26.832801348525955,21.91631739535102,6.583215555264206,9.056495006640427,4.243746304675392,5.958544976430184
41,26.292338728440182,21.3503960230756,6.523663997233273,9.149573333849567,4.410192287948735,6.075538421830139
42,26.225908376305075,21.31835720519928,6.66091933419634,9.270483847409034,4.099261843440871,6.181888712858102
43,26.731821135528623,22.174817712915555,6.59646712848001,8.694232941196363,4.162367460639631,5.952035096681977
44,26.45932022046759,21.671693361861312,6.8158954083561865,9.0577275617061,4.12369978071109,5.9806941930884046
45,26.1402703944404,21.530229392163886,6.455602926573836,8.764497863036551,4.015899522161623,5.813155098635395
46,26.157516620866968,21.70142647730928,6.674166640377426,8.688745367708298,4.114751798725692,5.756986827620202
47,26.16086038328526,21.48155003824216,6.594231707235925,8.741027829398403,4.040070148727997,5.66764195578608
48,26.883831904911148,22.096949947195156,6.381434212956705,8.6084214715839,4.116347462543452,5.684135283904894
49,26.288070009386107,21.67580559502245,6.743601816347266,9.022136894919964,3.986176591432673,5.834197971204325
50,26.261624066837122,21.628280679924288,6.684211568179412,8.78416696549831,3.890646364783543,5.670760255467286
51,26.32402265321603,21.627918660438958,6.437343515542276,8.53088329572783,3.9798779594812626,5.691203933179818
52,25.937334498846308,21.251917971084044,6.65409045323623,9.022650325741553,3.803662891698592,5.716350831077481
53,25.79623434267932,21.005818403692505,6.57005588096306,8.709638482697816,4.024822373817204,5.674327555777355
54,26.443620863780488,21.812039686031213,6.795955281679682,8.767286408472131,3.924608088136698,5.563259478113864
55,26.96159601593115,22.166233109327067,6.583026394080786,8.775272922586499,3.8992212026757014,5.676063008077825
56,26.325617077833094,21.49281996097942,6.434955818956063,8.768592361317745,3.9089332837966406,5.656896936943733
57,26.406357438421836,21.455775024987926,6.316017999945464,8.651093912424036,4.032240105197661,5.678261959692799
58,25.909324868485665,20.91641942391114,6.750098209503814,9.105060298566663,3.857700970043318,5.696775823634609
59,26.933217674228054,21.795940883079965,6.643175896602931,9.214844684398054,4.1411314316371906,6.100376149134827
60,26.949670997117686,22.165287128662005,6.540664638715241,8.949731041475728,3.914203572296252,5.937702444129385
61,26.710747724352284,21.917002584194258,6.647580712669537,9.093090816271664,4.034882115032678,6.031148738167485
62,25.910865075158323,21.238837102909145,6.369964599344371,8.719985057988167,4.219848521810779,5.890924257514387
63,26.062276197459703,20.97733339690696,6.807540725618157,9.560944981527422,4.080420677679814,6.074391993705288
64,26.408654429541507,21.67625639769945,6.711786702736377,9.000261607128003,4.126500996315536,5.896234550099522
65,26.586584821676983,21.681457294360936,6.56540280285785,9.13906182574282,4.061302534688946,6.089943997929551
66,25.898538193524757,20.88032654109798,6.694041023570287,9.43855487780958,4.174482963103405,6.000409255080468
67,25.952409748632416,21.179340990405297,6.666177131744228,9.289746981486331,4.238857910685347,6.110110216286137
68,26.350227122975095,21.441359312563222,6.559435124838964,9.148321871261654,4.267365151398322,6.089285496313536
69,26.2635071791725,21.427503783777777,6.58176854466793,9.072939876185375,3.9308249231332084,5.733079985994785
70,27.142297132002035,22.145918778592712,6.621826361447505,9.052147523982041,4.063342021614412,5.960993577658676
71,26.505567353092243,21.58994750764909,6.875095789743743,9.44377154910227,4.061989425159818,6.146735623871747
72,26.205482186877525,21.265493403528936,6.535945318020604,8.994925498860988,4.133573572677132,5.970246650423385
73,26.69552018640139,21.894076129261126,6.537711580611713,8.742637314358465,4.212812777942578,5.989286416631999
74,26.122931885195776,21.26617912712266,6.469809057155018,9.07784493678619,3.918326306318926,5.884893057720312
75,26.505684009300623,21.622125255789413,6.622020440641082,9.157923727418114,4.127302629364127,5.974626104811751
76,26.332548370472537,21.65564127997047,6.498867091274171,8.893686189377478,4.059301921349414,5.856768118550647
77,25.786133916130424,21.113303206585304,6.6281003493059085,8.992487086446332,4.244940984976424,6.0922493489108245
78,26.32468055962324,21.306871556202356,6.53966280603765,9.096972961986415,4.299230656565203,6.260147737105461
79,26.34653553172201,21.487219524863495,6.793806881807087,9.337967180250741,4.2227158972021615,6.121501024593744
80,26.704751430994822,21.7429652333776,6.80390351939385,9.427048251193986,4.1245628857102075,6.233119158208256
81,26.110077293856943,21.46037334600161,6.6126223650790426,8.849699629747876,4.08723026643058,5.9529100199952545
82,26.62007747227522,21.93152400674152,6.646739051245728,9.084552941062299,4.066274448307162,6.001248978283976
83,26.230334199977527,21.455424090919855,6.403650609938915,8.937194544405186,4.003582366244463,5.964649350198618
84,26.114307826354832,21.36126518638458,6.758833973551838,9.104548054217055,4.1592296909133495,5.997013645908847
85,26.44332184105911,21.832543270351028,6.460128740730174,8.744354435693017,4.196891615364254,6.053694803181162
86,26.776713371639616,21.940307738292333,6.70049150398853,8.84998183698855,4.130935167701422,5.786094164066511
87,27.09475159314328,22.187523920069797,6.4300928980576195,8.828848144732502,4.24565605717605,5.888116866139264
88,26.559301653938224,21.798986715676815,6.480591477613567,9.257877903052112,4.03646295307829,5.901868292059704
89,27.02271413300216,22.206054075418454,6.41404783371278,8.9123421333165,4.277758335816361,5.826505438400337
90,26.54238938978214,21.620562021101808,6.598459996016691,9.215155219513289,4.208695926393473,5.911032493507985
91,26.07884044264381,21.182623687668762,6.606462094001213,9.243531104396595,4.024171935906788,6.090284311811899
92,25.82989696886446,21.182395758219506,6.582075812595507,8.909775638191004,4.284628793179042,5.9438973771031005
93,26.525539792003833,21.623808887312794,6.480438433654023,9.245815395374361,4.144642521887625,6.032374758373374
94,26.07667356734999,21.062758599712108,6.596015856195447,9.150252581465642,4.106327744077583,6.031629689457945
95,26.601907013540682,21.734767122106224,6.515703427903796,8.986077526422397,4.116986529631876,5.911310139572129
96,26.704717480827227,21.865636663774655,6.55878616314154,9.101618205473665,3.9777003385430505,5.665192467463562
97,26.204684972331915,21.382670938309808,6.54434506713232,9.126736729631395,4.354669081903899,6.203651677012453
98,26.037448303468164,21.237461462945063,6.857876009646704,9.270850488795919,3.982396040737917,5.940128228641869
99,26.171286511056508,21.44695642406695,6.506295277900575,8.746177308932204,4.109926133303522,5.842595199807101
100,26.838868649500647,21.68808445186507,6.471570587112774,9.034999620572895,4.112598574137522,6.07124035433272
101,26.181506534653163,21.617447898270914,6.562599454499297,8.887663223561294,3.948278339011325,5.7789565775251965
102,26.067882733707844,21.322170533009878,6.723230836228383,9.32701289234075,4.205448174468752,6.027409449886883
103,26.579877648570104,21.792326401988767,6.657925887383492,8.890765325382883,3.9845483548447094,5.8118754999570195
104,26.20775149079691,21.55538320061365,6.585037263956003,8.944971464810411,3.9753828631019097,5.906289611350369
105,26.55144022077098,21.935385080003922,6.583072668000475,8.697899883183052,4.09777805371944,5.882484368526843
106,26.40842639894409,21.83422572959351,6.574829337696682,8.934784798614803,3.977598615006094,5.8027066635123905
107,26.219735846499496,21.7519394108783,6.738889552875608,8.808835316522226,3.9287414146675186,5.930448856767462
108,25.985934333476152,21.554441373237466,6.685568877751067,8.76113043659671,4.022121663455865,5.760176838704572
109,26.278222024212653,21.549573136773308,6.635016258531109,9.08558650854276,3.953869560841978,5.927124336677373
110,26.276228052256133,21.569597666894506,6.52286974407065,8.856817063025833,4.067031140829604,5.803760485852593
111,25.885904149834808,21.18652517797833,6.555304611145912,9.102437489417134,4.126532934723872,6.081094455606454
112,26.577249136612156,21.99317036538447,6.7084119355536505,8.772742722164951,3.9509437443494133,5.881550344949598
113,27.036789949522312,22.357256270715972,6.442781431872679,8.877314828964554,3.8369951456242433,5.7058533772437725
114,26.30059952463827,21.653077400937914,6.498853088366111,8.717864590873575,3.9173413766149814,5.857402662536338
