Frame,MG284_FSPP_Lig1,MG284_FSPP_Lig2,MG285_FSPP_Lig1,MG285_FSPP_Lig2,MG286_FSPP_Lig1,MG286_FSPP_Lig2
0,25.310387921777064,20.86378196009396,6.66952793842801,8.979102938629925,4.142574495366673,6.339820813166772
1,25.98444414065575,21.36512019672879,6.600504693623452,8.762044431874363,3.6765353772848317,6.128942210200487
2,26.393179397970446,21.896511873572525,6.724071338846518,8.642798616990973,4.084893301804009,6.126331946833291
3,25.843383247714392,21.19882567189295,6.76704270088435,8.99640395754634,3.807632736848751,6.126036226701638
4,25.82767844549376,21.006112953084862,6.612727605171924,8.715269492176223,4.230767694012582,6.2267423495384415
5,25.461973797256768,20.997335233316548,6.506602538506513,8.463575020980008,4.13758792644117,5.85721097030799
6,25.80019097825116,21.488876649931022,6.38239145403894,8.405911657387694,3.9992408962889536,5.961721044544625
7,25.419693051075367,20.995996745182076,6.721909662619797,8.652403762411101,4.146859820995372,6.027290664672648
8,26.429637475566217,21.8896580685275,6.463681957369609,8.674635001690264,4.0645069447255535,6.161571655951137
9,26.81112657169221,22.32306856029149,6.868486902456439,8.88919347978595,4.105435650470601,6.047616969386754
10,26.309660216448876,21.894591353228996,6.566942179912332,8.553839899308722,4.132136548416834,6.091992124830911
11,25.24620117632904,20.715932275936716,6.62468116184183,8.684106397421433,4.054007644605393,6.139671461323458
12,25.39716952507821,21.00929396514245,6.865812950984663,8.650731520412918,4.069771277580514,5.902848250525971
13,26.584128631709017,22.16311997029139,6.50855155716372,8.552852683806723,4.09213742798175,6.017376255577173
14,25.80514646208828,21.468816635625846,6.692401615693447,8.626035444899216,3.9805676662652227,5.910848448556843
15,26.12255017287621,21.60274646815926,6.530449832144076,8.764410728799133,4.068565399650043,6.11986753913232
16,25.875478547326175,21.39267051776003,6.863760558486546,8.997991478695464,3.9284524352125008,6.1443493332197905
17,25.77264814815193,21.43916244722312,6.574852540895348,8.607193497368407,4.150052218377334,5.929856699922582
18,26.51260076251918,22.020817578507447,6.582934184771638,8.723291900361197,3.994518401725011,6.217427724449427
19,25.98110592501625,21.361195938988704,6.603966217035048,8.644992503079411,4.25559540020157,6.128536860060182
20,26.08825139319227,21.48357440547134,6.742199130453042,9.014009779022322,4.066283834275279,6.229078049287264
21,25.942027192143485,21.53386009088183,6.580254189762553,8.71489508662375,4.057498971764301,6.035120420771709
22,25.04466343849052,20.590219152266023,6.657623539829183,8.572959052480375,4.075698008339483,5.973440355514861
23,25.197295254763652,20.621504040537022,6.504054678652117,8.654190745737171,3.917877343712594,6.170254735683959
24,25.588948017975188,20.666097731073776,6.748113009093469,8.958267284598966,3.9926987487382117,6.228097321236011
25,25.82077548114798,21.466499979659172,6.4641657684666205,8.533515517157108,3.8334468363223784,6.090652268307038
26,25.86061473177829,21.038162172938705,6.550036381560626,8.607174539717862,4.134951085209109,6.183231086572636
27,25.692289045365907,21.247192192632003,6.634462661281453,8.627794057621728,3.9671226123166807,6.06994727144576
28,26.022212348646217,21.66562512378727,6.631628284016736,8.828872760560738,3.8639400700652176,6.006743556222182
29,26.650565248274592,22.172872713437812,6.7656281256101165,8.703126446247625,4.0912138207938,6.029364394112238
30,26.355954686267314,22.00651551831359,6.628593194933792,8.876704114719809,3.671585413636174,5.999565674328048
31,25.668079589653807,21.19805921415449,6.739978288012548,8.998526774687925,3.6370966842947805,5.882036896166736
