Frame,Protein_RMSD,Rg,FSPP_Lig1_RMSD,FSPP_Lig2_RMSD
0,3.114687274657158e-07,19.925619182085313,0.0,0.0
1,0.6432084152780879,19.871567226621995,1.0888897954322712,2.0072377136490065
2,0.6431980389482898,19.898457454724202,1.3928433859226959,1.6561981296419397
3,0.7430230716516256,19.84784615575611,1.2135520320582716,1.7127027446440182
4,0.749132499866576,19.819994909852074,0.8557070401459298,1.7313464180745783
5,0.7791725118689659,19.799641153453468,1.3261008754798975,1.6784468555346745
6,0.7293318147446144,19.845550935222093,1.1825944918978284,1.927689066250637
7,0.6737772861027497,19.90867300599755,1.0836047411044454,2.118204436331481
8,0.8455966871598539,19.791009811813886,1.225736985397191,2.1393748296527995
9,0.8180847979090679,19.854540599670205,1.2627166533617429,1.9167174824573197
10,0.8232457642676807,19.786424816322356,1.0750627802041122,1.9348676252284602
11,0.7290965886202447,19.830368003738084,1.263006249728295,2.060198730348348
12,0.8234487737231732,19.794856386866073,1.156421714873796,2.3425308985714524
13,0.9190465894580806,19.799670852668417,1.3930406230738752,1.6008699943710203
14,0.9067058118116589,19.838378863456565,1.400173816778508,2.2876863610971956
15,0.9850529602601581,19.787612927742718,1.2749363889536727,2.3325422539028677
16,0.94712656457722,19.83472526410751,1.08723170221977,1.784654480451103
17,0.9195033255458971,19.852845256254295,1.2196228647631495,2.0441163170483185
18,0.9316064965668115,19.837763235591517,0.9185814579230264,2.0936912802543324
19,0.9066633658233939,19.833139166201562,1.1708595692459531,2.102698987497683
20,0.9665974204630366,19.80189893480942,1.2875473074722417,2.384104640859873
21,0.8638707395568285,19.85177406837839,1.2630709180604702,2.0176220212703195
22,0.838111815518711,19.87020619348287,1.2467078513666443,2.288573221549242
23,0.8065848024077382,19.85421058695987,1.0230056835038315,2.121954363803262
24,0.7580696920074999,19.836528995098607,1.136300904796238,1.970817042389424
25,0.8840473082413177,19.7838623567384,1.1829419825758583,2.0772969895849553
26,0.8724574028016501,19.7810389350116,1.2453287636171895,2.1124756696803813
27,0.8540162934845715,19.833944323896425,1.175217989485323,1.9180041091122677
28,0.8915807653485277,19.736396437232756,1.0835450654783692,2.1820296216886126
29,0.8974673490827833,19.773973105918053,1.3013527383227226,2.1812219473500485
30,0.9473367557010767,19.76290014380052,1.0809686015270505,2.05959259232745
31,0.9198514120411049,19.817845124033354,0.9799620394645148,2.2168714412958233
32,0.9672035805517314,19.8250075087461,1.0221414761405585,1.965749758756602
33,0.8541456634681466,19.857904840742584,1.2747589091159128,2.2751119362475922
34,0.7772615815231214,19.89889130001614,1.392313525269622,2.0176096819948874
35,0.9507437650342272,19.830140917522932,1.279789679600582,2.4715680358913024
36,0.9286431605194303,19.82688531932023,1.0448998941209604,2.2553158766191004
37,0.9638911647860076,19.853288286740312,0.9387687650199737,2.2783244336865964
38,0.9809288422084227,19.80704006747394,1.1319479157786707,2.0795221841148743
39,0.9567179294079656,19.80146383643811,1.251721683087996,2.182617110624587
40,0.9350221643849064,19.852358402736307,1.033265906834056,2.1632036472901492
41,0.8110240810676015,19.771427604652224,0.7767213611122525,2.2339173280334683
42,0.9090374711084327,19.806640998824285,1.109729804264152,1.9980900575743574
43,0.9465595508737245,19.83977060325455,1.2005289432258497,2.2587376118269242
44,0.8746792455360143,19.862031136654842,1.1832407068832143,2.1629488648793167
45,0.9155168500145096,19.85106862077055,1.2781834818713889,2.316972518872281
46,0.9441250011345964,19.934256230307692,1.108107571720538,2.2323817317156367
47,0.9359393002272491,19.8950395994092,1.2631850417038686,2.1735160284546993
48,0.9990388882264816,19.91025263211014,1.101489321641675,2.32783832420638
49,0.8865353968398088,19.925387888036067,1.1337918164285747,2.179459147003376
50,0.9747813142600826,19.874646800266543,1.0897020515839477,2.3102333897553313
51,0.9392421894865037,19.876363458731852,1.1964593219449011,2.0878929006838525
52,0.958241150664417,19.883393872304637,1.1807851420566866,2.0661702907621198
53,0.9285632479267839,19.816918386015523,1.243319561177258,2.2385786211299132
54,0.9062481838028915,19.865751471691876,1.1123199914753752,2.214451583652748
55,0.9873939179133557,19.851605616224756,1.1062820701007987,2.103055963095783
56,1.0162808757712085,19.815365573774915,0.974707223947659,2.0969627653267167
57,0.9584203745773243,19.80896842243537,1.347913289999793,2.036070759346868
58,0.9370070555689737,19.777334399939196,1.1293913747791058,2.1515286590064586
59,0.9872885777610577,19.8215663126877,1.1391628029949936,2.1213807880398727
60,0.9987330681488555,19.733659000684696,1.209435673951388,2.073156297903916
61,0.9170977138868271,19.812592362507694,1.2507251905380383,2.1600333660071884
62,0.9700077548696576,19.842846796093795,1.268125752479,2.041045150068043
63,0.8987032233085613,19.81109703033541,1.2143687883314196,2.295822682616686
64,0.8467076464339974,19.84580352089916,1.0559469336393015,2.038317937585436
65,0.8369084131899687,19.83957361164585,1.1057602237659274,1.7282529555075656
66,0.9100885514056957,19.803627748407344,1.2218970131041662,2.1677174891609607
67,0.9024448702724155,19.817230454261537,1.076034652411627,1.6586766421618215
68,0.9511411784674368,19.83312184226274,1.360237687748925,1.7182487081796576
69,0.8987074343614545,19.811626825974166,1.4088557346623485,1.9078563634128654
70,0.874985174422831,19.816953309195377,1.1062611916638214,1.767279257777807
71,0.77005991204153,19.872823001854762,1.1441151322461447,1.5504971388693416
72,0.8139958395003423,19.845828002875514,1.2670522376714084,2.2464223545910107
